customer_id,email,first_name,last_name,country,billing_currency,preferred_language,acquisition_channel,is_business,tax_id,tax_exempt,account_status,created_at
CUST-0001,milo.ibsen01@example.com,Milo,Ibsen,US,USD,en,referral,false,,false,active,2006-04-08T09:21:00Z
CUST-0002,theo.fiala02@example.com,Theo,Fiala,US,USD,en,referral,false,,false,active,2008-02-04T18:27:00Z
CUST-0003,lucas.eriksen03@example.com,Lucas,Eriksen,US,USD,en,organic,false,,false,active,2006-04-06T14:31:00Z
CUST-0004,farid.joubert04@example.com,Farid,Joubert,US,USD,en,organic,false,,false,active,2010-01-02T17:30:00Z
CUST-0005,lena.rousseau05@example.com,Lena,Rousseau,US,USD,en,organic,false,,false,active,2010-04-09T14:08:00Z
CUST-0006,hana.ibsen06@example.com,Hana,Ibsen,US,USD,en,organic,false,,false,active,2009-11-04T10:16:00Z
CUST-0007,zoe.rousseau07@example.com,Zoe,Rousseau,US,USD,en,organic,false,,false,active,2012-09-23T14:35:00Z
CUST-0008,dario.boucher08@example.com,Dario,Boucher,US,USD,en,organic,false,,false,active,2008-03-26T20:11:00Z
CUST-0009,ines.costa09@example.com,Ines,Costa,US,USD,en,organic,false,,false,active,2022-07-11T12:55:00Z
CUST-0010,clara.dubois10@example.com,Clara,Dubois,CA,CAD,fr,paid_search,false,,false,active,2024-01-17T20:34:00Z
CUST-0011,dario.bergstrom11@example.com,Dario,Bergstrom,CA,CAD,en,partner,false,,false,active,2023-05-07T14:50:00Z
CUST-0012,hana.ferrari12@example.com,Hana,Ferrari,US,USD,en,referral,false,,false,active,2024-07-21T17:12:00Z
CUST-0013,hana.hoek13@example.com,Hana,Hoek,US,USD,en,referral,false,,false,active,2024-09-15T10:47:00Z
CUST-0014,celia.egan14@example.com,Celia,Egan,US,USD,en,paid_search,false,,false,active,2024-01-07T14:24:00Z
CUST-0015,ruby.wagner15@example.com,Ruby,Wagner,CA,CAD,en,paid_search,false,,false,churned,2024-12-06T15:58:00Z
CUST-0016,ines.ferrari16@example.com,Ines,Ferrari,US,USD,en,organic,false,,false,active,2021-01-08T11:53:00Z
CUST-0017,silas.novak17@example.com,Silas,Novak,US,USD,en,referral,false,,false,active,2021-10-23T18:15:00Z
CUST-0018,oscar.ibsen18@example.com,Oscar,Ibsen,FR,EUR,fr,referral,false,,false,active,2023-10-26T16:49:00Z
CUST-0019,felix.schmidt19@example.com,Felix,Schmidt,CA,CAD,fr,organic,false,,false,active,2025-01-12T15:03:00Z
CUST-0020,ethan.novak20@example.com,Ethan,Novak,US,USD,en,organic,false,,false,active,2023-02-24T16:48:00Z
