payment_method_id,customer_id,atlaspay_token,card_brand,card_last4,exp_month,exp_year,cardholder_name,billing_postal_code,status,created_at
PM-0001,CUST-0001,atp_tok_eNo41eoPni6J,amex,0005,1,2027,Milo Ibsen,71953,active,2006-04-08T09:21:00Z
PM-0002,CUST-0002,atp_tok_yv1plBArp5B1,visa,4242,1,2026,Theo Fiala,82132,active,2008-02-04T18:27:00Z
PM-0003,CUST-0003,atp_tok_ay5WrRTWPEln,mastercard,4444,7,2027,Lucas Eriksen,17665,active,2006-04-06T14:31:00Z
PM-0004,CUST-0004,atp_tok_elKPoh3pKMzK,mastercard,4444,9,2026,Farid Joubert,78522,active,2010-01-02T17:30:00Z
PM-0005,CUST-0005,atp_tok_C99enq522wjZ,visa,5556,1,2026,Lena Rousseau,49651,active,2010-04-09T14:08:00Z
PM-0006,CUST-0006,atp_tok_rnvQ0Fp4dNZc,amex,0005,5,2027,Hana Ibsen,53719,active,2009-11-04T10:16:00Z
PM-0007,CUST-0007,atp_tok_cwIAcw58cwQP,amex,0005,9,2027,Zoe Rousseau,56357,active,2012-09-23T14:35:00Z
PM-0008,CUST-0008,atp_tok_1YqWg21nYCsX,visa,5556,11,2029,Dario Boucher,39831,active,2008-03-26T20:11:00Z
PM-0009,CUST-0009,atp_tok_2qJ8cKvWB9h3,visa,5556,2,2026,Ines Costa,34914,active,2022-07-11T12:55:00Z
PM-0010,CUST-0010,atp_tok_ePut0Sstzysh,mastercard,4444,7,2028,Clara Dubois,G6C9E6,active,2024-01-17T20:34:00Z
PM-0011,CUST-0011,atp_tok_D3XkfFNuYUPn,visa,5556,9,2027,Dario Bergstrom,D2A0D7,active,2023-05-07T14:50:00Z
PM-0012,CUST-0012,atp_tok_nXRCI4hiCGIt,visa,4242,7,2026,Hana Ferrari,68008,active,2024-07-21T17:12:00Z
PM-0013,CUST-0013,atp_tok_oBSou3ejxjnz,mastercard,3222,11,2029,Hana Hoek,53369,active,2024-09-15T10:47:00Z
PM-0014,CUST-0014,atp_tok_avU07zUHLnnB,mastercard,8210,8,2029,Celia Egan,13804,active,2024-01-07T14:24:00Z
PM-0015,CUST-0015,atp_tok_NiCdxnuVxUZp,visa,5556,2,2026,Ruby Wagner,B7A8A5,active,2024-12-06T15:58:00Z
PM-0016,CUST-0016,atp_tok_RVkLUhY7gbtP,amex,0005,8,2027,Ines Ferrari,59192,active,2021-01-08T11:53:00Z
PM-0017,CUST-0017,atp_tok_HPeOaAEAw3Cj,visa,4242,6,2026,Silas Novak,33086,active,2021-10-23T18:15:00Z
PM-0018,CUST-0018,atp_tok_Zf2pCLxb0lnX,mastercard,3222,4,2028,Oscar Ibsen,54608,active,2023-10-26T16:49:00Z
PM-0019,CUST-0019,atp_tok_SBbszpPwIv9I,visa,4242,11,2029,Felix Schmidt,F7E4E3,active,2025-01-17T11:05:00Z
PM-0020,CUST-0020,atp_tok_swsRhcds6NUg,visa,5556,4,2026,Ethan Novak,11607,active,2023-02-24T16:48:00Z
PM-0021,CUST-0021,atp_tok_eNdjIs9hVLXn,visa,4242,8,2029,Edith Tremblay,78494,active,2024-08-15T13:11:00Z
PM-0022,CUST-0022,atp_tok_OjkeaBKsoRRC,mastercard,4444,5,2027,Ruby Dahl,40595,active,2024-05-28T17:27:00Z
PM-0023,CUST-0023,atp_tok_UJrhQR6FEecA,visa,4242,10,2028,Clara Mercier,52247,active,2022-07-04T16:14:00Z
PM-0024,CUST-0024,atp_tok_DO4lKNEfvuP1,visa,5556,3,2026,Greta Rousseau,53228,active,2021-02-08T18:53:00Z
PM-0025,CUST-0025,atp_tok_Za1CdGMEBdqi,visa,4242,9,2029,Nora Girard,E7H1A9,active,2023-11-13T20:35:00Z
PM-0026,CUST-0026,atp_tok_5sRzDDCilLUi,visa,4242,8,2027,Theo Laurent,19150,active,2023-09-01T16:26:00Z
PM-0027,CUST-0027,atp_tok_HvIHCtlRJoWc,visa,5556,8,2027,Felix Boucher,71993,active,2023-09-09T08:18:00Z
PM-0028,CUST-0028,atp_tok_GCSzOjD8uQO0,visa,4242,2,2029,Nadia Zimmer,98389,active,2024-11-26T18:09:00Z
PM-0029,CUST-0029,atp_tok_f8VRgksbudwA,visa,5556,12,2027,Celia Zimmer,42007,active,2023-11-23T20:31:00Z
PM-0030,CUST-0030,atp_tok_CppaX3QjBvKN,mastercard,3222,4,2027,Bruno Boucher,65615,active,2025-02-20T00:00:00Z
PM-0031,CUST-0031,atp_tok_ya1W84UZ3WoX,visa,5556,11,2026,Mats Rousseau,38705,active,2024-05-07T14:54:00Z
PM-0032,CUST-0032,atp_tok_Wcwi4uzmW2wF,amex,0005,5,2026,Ivo Novak,45720,active,2025-02-20T00:00:00Z
PM-0033,CUST-0033,atp_tok_wXaHCPPKY6go,amex,0005,9,2029,Hugo Rousseau,13280,active,2024-05-24T13:51:00Z
PM-0034,CUST-0034,atp_tok_i6sEg3iCPU6z,mastercard,8210,2,2029,Hana Kraft,C6B7G4,active,2023-10-08T18:04:00Z
PM-0035,CUST-0035,atp_tok_r86ZfnN8du9W,visa,5556,7,2026,Noah Yilmaz,D1J3D3,active,2022-08-15T11:54:00Z
PM-0036,CUST-0036,atp_tok_wWKaqhAhdBwK,amex,0005,1,2027,Erik Keller,69245,active,2025-01-09T10:08:00Z
PM-0037,CUST-0037,atp_tok_0AgSB3tjhMKS,visa,4242,8,2026,Tessa Petit,59925,active,2025-01-24T20:58:00Z
PM-0038,CUST-0038,atp_tok_BovCzfAPxj5e,mastercard,8210,7,2027,Greta Ibsen,21188,active,2023-08-17T17:27:00Z
PM-0039,CUST-0039,atp_tok_hvPU1S8LvJnO,mastercard,8210,11,2028,Mia Colin,39392,active,2021-12-24T13:51:00Z
PM-0040,CUST-0040,atp_tok_5ZqlRtva1Jyi,mastercard,8210,10,2026,Lucas Xu,92991,active,2025-02-20T00:00:00Z
PM-0041,CUST-0041,atp_tok_jUdfBALznFvg,mastercard,8210,1,2026,Liam Gagnon,98895,active,2025-02-20T00:00:00Z
PM-0042,CUST-0042,atp_tok_VVrhEAiHoIPv,amex,0005,4,2028,Lola Mercier,62044,active,2024-09-22T12:02:00Z
PM-0043,CUST-0043,atp_tok_k6CQwBgBye1U,visa,5556,6,2026,Noah Colin,39041,active,2021-08-03T13:36:00Z
PM-0044,CUST-0044,atp_tok_gpkjVe6MCIJQ,mastercard,8210,4,2027,Erik Laurent,83989,active,2021-09-21T09:33:00Z
PM-0045,CUST-0045,atp_tok_CdZe11MFCIX3,visa,4242,8,2028,June Visser,68947,active,2023-03-15T09:30:00Z
PM-0046,CUST-0046,atp_tok_OcR9GLw4yWQd,mastercard,3222,9,2026,Edith Novak,F1F1J6,active,2023-10-16T16:09:00Z
PM-0047,CUST-0047,atp_tok_RfINuhR694fP,visa,5556,10,2027,Marta Rousseau,J5A5E2,active,2025-02-20T00:00:00Z
